Report Date,Week Ending Date,Health Region,Vaccination Status,Infections,Hospitalizations,Deaths,Population Denominator
9/24/21,4/10/21,Southwest Region,Partially Vaccinated,94,16,3,1335587
9/24/21,3/13/21,Southwest Region,Partially Vaccinated,107,11,2,804991
9/24/21,6/19/21,Southwest Region,Partially Vaccinated,8,1,0,575514
9/24/21,6/12/21,Central Region,Fully Vaccinated,18,0,0,4235855
9/24/21,4/3/21,Northwest Region,Unvaccinated,1400,45,15,5508296
9/24/21,5/15/21,Eastern Region,Partially Vaccinated,40,10,1,854793
9/24/21,4/17/21,Eastern Region,Fully Vaccinated,44,5,6,2382603
9/24/21,7/31/21,Northwest Region,Partially Vaccinated,53,5,0,564867
9/24/21,5/8/21,Southwest Region,Partially Vaccinated,45,9,2,970053
9/24/21,6/19/21,Northern Region,Partially Vaccinated,17,1,0,575514
9/24/21,2/27/21,Northwest Region,Unvaccinated,1510,27,4,7189262
9/24/21,3/6/21,Northern Region,Partially Vaccinated,87,11,4,693621
9/24/21,7/31/21,Central Region,Fully Vaccinated,387,6,7,4657238
9/24/21,9/11/21,Northern Region,Fully Vaccinated,818,12,0,4964222
9/24/21,4/10/21,Northwest Region,Partially Vaccinated,150,8,5,1335587
9/24/21,1/30/21,Eastern Region,Unvaccinated,5754,208,83,7756203
9/24/21,5/1/21,Northwest Region,Fully Vaccinated,39,1,0,3042614
9/24/21,1/30/21,Southwest Region,Partially Vaccinated,245,21,18,637549
9/24/21,6/5/21,Central Region,Unvaccinated,197,8,3,3728552
9/24/21,7/10/21,Northern Region,Partially Vaccinated,22,3,0,531387
9/24/21,5/22/21,Northern Region,Partially Vaccinated,59,2,0,807864
9/24/21,2/27/21,Northern Region,Partially Vaccinated,92,2,1,599377
9/24/21,4/24/21,Central Region,Unvaccinated,1150,40,13,4602741
9/24/21,3/6/21,Northwest Region,Fully Vaccinated,10,4,0,914621
9/24/21,6/19/21,Southwest Region,Fully Vaccinated,19,1,0,4353426
9/24/21,5/1/21,Eastern Region,Unvaccinated,1338,52,13,4388240
9/24/21,1/23/21,Northwest Region,Partially Vaccinated,157,3,5,445402
9/24/21,3/20/21,Northwest Region,Partially Vaccinated,67,5,1,965502
9/24/21,3/13/21,Eastern Region,Unvaccinated,2220,81,52,6649199
9/24/21,9/4/21,Northern Region,Unvaccinated,1954,39,2,2978072
9/24/21,4/24/21,Southwest Region,Partially Vaccinated,103,16,6,1225257
9/24/21,5/15/21,Southwest Region,Partially Vaccinated,40,6,0,854793
9/24/21,5/1/21,Northern Region,Unvaccinated,1047,28,6,4388240
9/24/21,1/23/21,Eastern Region,Unvaccinated,6775,268,115,8006973
9/24/21,8/21/21,Northwest Region,Fully Vaccinated,583,21,14,4792601
